feature,importance
merchant_diversity,0.0017925533
user_segment_Yes Bank_Karnataka_18-25,0.0017898876
user_segment_Axis_Rajasthan_56+,0.0017881321
user_segment_HDFC_Tamil Nadu_46-55,0.0017850893
user_segment_PNB_Uttar Pradesh_36-45,0.0017835357
user_segment_PNB_Delhi_26-35,0.0017816499
user_segment_Kotak_Karnataka_18-25,0.0017778077
user_segment_SBI_Tamil Nadu_56+,0.0017777743
ORGANIZATION_TYPE_Transport: type 1,0.001777277
user_segment_SBI_Tamil Nadu_46-55,0.0017739323
user_segment_ICICI_Andhra Pradesh_56+,0.0017731753
user_segment_Yes Bank_Rajasthan_26-35,0.0017715894
REG_CITY_NOT_WORK_CITY,0.001766758
user_segment_Kotak_Delhi_36-45,0.001766573
FLAG_DOCUMENT_5,0.0017663375
ORGANIZATION_TYPE_Housing,0.0017662984
user_segment_IndusInd_Uttar Pradesh_26-35,0.0017561036
user_segment_Kotak_Tamil Nadu_26-35,0.001754282
user_segment_PNB_Telangana_36-45,0.0017527054
user_segment_SBI_Tamil Nadu_18-25,0.0017500689
ORGANIZATION_TYPE_Trade: type 6,0.0017470554
ORGANIZATION_TYPE_Realtor,0.0017441313
user_segment_ICICI_West Bengal_36-45,0.0017436079
user_segment_Axis_Delhi_18-25,0.0017379972
user_segment_HDFC_Maharashtra_18-25,0.0017366321
user_segment_IndusInd_Gujarat_26-35,0.0017314235
user_segment_ICICI_Tamil Nadu_18-25,0.0017301994
FLAG_EMAIL,0.0017292486
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0017278498
user_segment_SBI_Andhra Pradesh_26-35,0.001727772
user_segment_HDFC_Rajasthan_36-45,0.0017253922
ORGANIZATION_TYPE_Legal Services,0.0017205914
user_segment_PNB_Uttar Pradesh_46-55,0.0017188966
user_segment_Yes Bank_Telangana_56+,0.0017184153
FLAG_DOCUMENT_6,0.0017166091
FLAG_PHONE,0.0017102093
user_segment_Kotak_Rajasthan_56+,0.0017095899
user_segment_IndusInd_Delhi_18-25,0.0017094522
AMT_INCOME_TOTAL,0.0017094479
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0017076898
user_segment_PNB_West Bengal_56+,0.0017067859
user_segment_HDFC_Andhra Pradesh_26-35,0.0017060208
